,importance,feature
1931,0.0773936611767511,v65v51
2244,0.07699669495615122,v50_v4_v121
734,0.07598330779064923,v22_v110_v129_v91
347,0.0758700359351362,v22_v62_v38
225,0.07585476489954272,v24v107
131,0.07567161710255402,v30v113
78,0.07522577830980992,v79v47
2036,0.0751325533200914,v50_v21_v106
65,0.0748958344394237,v91v110
199,0.07479392377696048,v112v79
1843,0.07434654256727762,v51v106
1706,0.07403850809857304,v88v114
774,0.07302199406069844,v22_v110_v24_v71
1021,0.07242906787323364,v22_v72_v79_v75
1470,0.07238583881378353,v22_v47_v30_v52
256,0.0720665244894858,v52v71
373,0.07111541921494205,v22_v38_v66
49,0.06983402988288516,v52
81,0.06949333284897515,v107v47
1985,0.06929574576305089,v88v55
91,0.06926279216325008,v113v31
1915,0.06906609914842256,v88v85
1604,0.06901974623824106,v14v10
1420,0.0689306137057808,v22_v47_v24_v75
122,0.068825015023007,v125v129
237,0.06835936156466937,v125v24
149,0.06816379329703465,v112v62
144,0.06789306670254325,v79v62
1026,0.06781275155483148,v22_v72_v38_v30
1776,0.06780431493647962,v36v119
74,0.06752938020203769,v62v47
913,0.06728701204782665,v22_v72_v79_v24
2186,0.06714976591986169,v50_v106_v51
2004,0.06659354633434221,v36v88
53,0.06632815011771243,v129v110
119,0.0662956556693792,v91v129
656,0.06609216051882305,v22_v113_v72_v79
1720,0.06589446219953563,v51v21
230,0.06525593863902375,v125v107
1916,0.06488155306153334,v36v85
520,0.06413346246700577,v22_v113_v38_v56
51,0.06406551846072454,v47v110
105,0.06404708722238771,v125v31
66,0.06397836952240206,v75v110
92,0.06358159277453167,v62v31
990,0.06333554485658682,v22_v38_v66_v24
240,0.0632557443527054,v91v112
939,0.06256548490275642,v22_v31_v30_v75
845,0.062080714587676195,v22_v113_v62_v38
2257,0.06167107100114711,v50_v4_v130
1358,0.061565274556614355,v22_v110_v38_v125
1921,0.06146167055559334,v44v51
894,0.06121381777760056,v22_v129_v30_v71
87,0.06071306023531506,v125v47
158,0.06052428042018644,v79v72
62,0.06045557164854285,v107v110
2228,0.06006929026962103,v50_v48_v44
694,0.05969813474426545,v22_v72_v30_v52
126,0.05940352976943683,v72v113
1628,0.0593092806826333,v88v10
1747,0.05901502837662034,v130v4
1809,0.058882732601482725,v44v48
2117,0.058809818797719376,v50_v119_v44
1871,0.05808432626388589,v36v93
1702,0.0580834911979441,v55v114
39,0.05745863588362255,v79
1707,0.05698421569974516,v36v114
968,0.056845574958574584,v22_v31_v38_v79
383,0.0567903437557458,v22_v38_v125
46,0.05654266126297902,v75
88,0.05652633265234749,v52v47
167,0.05638502828618775,v125v72
659,0.05632891869851163,v22_v110_v113_v112
